@relation 'DatasetClientesVM2014-2019 -V4\%'

@attribute id numeric
@attribute rendaMediaNormalizada numeric
@attribute ugb_id numeric
@attribute rendaTipo numeric
@attribute estadoCivil numeric
@attribute origem numeric
@attribute escolaridade numeric
@attribute tipoCliente numeric
@attribute cidade_id numeric
@attribute Idade string
@attribute Aprovado numeric
@attribute rendaMedia numeric

@data
226,0.1629,2,2,7,1,0,0,0,32,0,1800
332,0.1412,2,0,0,1,0,0,0,32,0,1600
12591,0.0713,3,1,1,2,2,0,0,32,0,957
3134,0.1303,2,3,1,1,3,0,0,32,0,1500
12139,0.1629,3,2,1,2,3,0,0,32,0,1800
5392,0.1412,2,3,1,1,5,0,0,32,0,1600
10902,0.152,3,1,5,2,5,0,0,32,0,1700
12042,0.1227,6,1,2,2,5,0,0,32,1,1430
14615,0.1595,6,3,1,2,5,0,0,32,1,1769
10949,0.076,3,2,1,2,6,0,0,32,0,1000
11058,0.1737,4,3,2,2,7,0,0,32,0,1900
12711,0.1412,2,0,0,2,0,1,0,32,0,1600
14636,0.1629,2,2,0,2,0,1,0,32,0,1800
14660,0.1629,2,0,0,2,0,1,0,32,0,1800
79,0.1412,3,1,1,1,2,1,0,32,0,1600
90,0.152,3,2,1,1,2,1,0,32,1,1700
186,0.1846,3,2,1,1,2,1,0,32,1,2000
194,0.1303,3,2,1,1,2,1,0,32,1,1500
2279,0.1412,2,3,1,1,2,1,0,32,1,1600
2295,0.127,2,1,1,1,2,1,0,32,1,1470
2492,0.1412,2,1,1,1,2,1,0,32,1,1600
3029,0.127,2,1,1,1,2,1,0,32,0,1470
4562,0.1303,2,2,1,1,2,1,0,32,0,1500
4671,0.152,4,3,2,2,2,1,0,32,1,1700
4932,0.1227,2,3,1,1,2,1,0,32,1,1430
7272,0.1391,3,3,1,1,2,1,0,32,1,1581
7422,0.1585,3,2,1,1,2,1,0,32,1,1760
7532,0.152,3,2,2,1,2,1,0,32,1,1700
7968,0.1412,3,2,1,1,2,1,0,32,1,1600
7995,0.1397,3,3,1,1,2,1,0,32,1,1587
8443,0.1629,3,2,7,1,2,1,0,32,1,1800
8560,0.1412,3,2,1,1,2,1,0,32,0,1600
8995,0.1577,2,3,2,1,2,1,0,32,1,1752
9105,0.1194,3,2,1,1,2,1,0,32,1,1400
9513,0.1709,3,2,2,1,2,1,0,32,0,1874
9568,0.1116,4,1,7,1,2,1,0,32,1,1328
9653,0.0977,3,2,2,1,2,1,0,32,0,1200
10105,0.1303,2,2,7,1,2,1,0,32,0,1500
10341,0.1207,4,3,7,1,2,1,0,32,1,1412
10647,0.1236,2,1,2,1,2,1,0,32,1,1438
10883,0.1086,3,2,7,2,2,1,0,32,1,1300
10890,0.1412,2,3,7,1,2,1,0,32,0,1600
10920,0.1629,3,2,7,1,2,1,0,32,0,1800
10998,0.1412,2,2,7,1,2,1,0,32,1,1600
11095,0.139,2,2,7,1,2,1,0,32,1,1580
11109,0.1249,2,2,2,1,2,1,0,32,0,1450
11678,0.1194,4,1,2,1,2,1,0,32,1,1400
12155,0.1067,4,1,7,1,2,1,0,32,1,1283
12666,0.2064,6,1,2,1,2,1,0,32,1,2201
12792,0.1086,4,1,7,1,2,1,0,32,1,1300
97,0.0565,3,1,1,1,3,1,0,32,0,820
122,0.1629,3,1,1,1,3,1,0,32,0,1800
145,0.1466,3,1,1,1,3,1,0,32,0,1650
293,0.1629,2,1,1,1,3,1,0,32,0,1800
2145,0.1337,2,1,2,1,3,1,0,32,1,1531
2488,0.114,2,1,3,1,3,1,0,32,0,1350
2509,0.1419,2,3,1,1,3,1,0,32,1,1607
2643,0.1317,2,3,1,1,3,1,0,32,1,1513
3468,0.0977,2,1,1,1,3,1,0,32,0,1200
4342,0.1733,2,3,2,1,3,1,0,32,1,1896
4441,0.1412,2,1,2,1,3,1,0,32,0,1600
8748,0.152,3,1,1,1,3,1,0,32,0,1700
8864,0.152,2,3,1,1,3,1,0,32,0,1700
9303,0.1709,4,1,3,1,3,1,0,32,0,1874
9681,0.1412,4,3,7,1,3,1,0,32,1,1600
9976,0.1303,3,2,3,1,3,1,0,32,1,1500
10455,0.1573,3,3,7,1,3,1,0,32,1,1749
10952,0.1499,4,3,7,1,3,1,0,32,1,1681
11070,0.1412,2,2,1,1,3,1,0,32,0,1600
11159,0.1629,4,3,1,1,3,1,0,32,1,1800
11935,0.152,6,3,7,1,3,1,0,32,1,1700
12015,0.139,2,2,7,1,3,1,0,32,0,1580
12959,0.1412,2,2,1,2,3,1,0,32,0,1600
12984,0.1405,2,3,1,2,3,1,0,32,1,1594
13144,0.139,2,2,7,2,3,1,0,32,1,1580
37,0.148,3,1,1,1,4,1,0,32,1,1663
185,0.1412,3,2,3,1,4,1,0,32,1,1600
2142,0.1011,2,1,1,1,4,1,0,32,1,1231
2300,0.1466,3,1,1,1,4,1,0,32,1,1650
4337,0.1194,2,1,2,1,4,1,0,32,0,1400
4520,0.1049,2,3,1,1,4,1,0,32,1,1266
5208,0.1407,2,3,1,1,4,1,0,32,1,1596
7112,0.1303,6,1,2,1,4,1,0,32,0,1500
7210,0.1521,6,1,1,1,4,1,0,32,1,1701
7297,0.1194,3,2,1,1,4,1,0,32,1,1400
8249,0.1629,2,2,2,1,4,1,0,32,0,1800
8718,0.1017,3,3,1,1,4,1,0,32,0,1237
8791,0.1412,2,3,1,1,4,1,0,32,0,1600
8881,0.1251,2,1,2,1,4,1,0,32,0,1452
9107,0.1412,6,2,2,1,4,1,0,32,1,1600
9221,0.1629,3,2,1,1,4,1,0,32,1,1800
9246,0.1303,2,2,1,1,4,1,0,32,0,1500
10352,0.1368,2,3,2,1,4,1,0,32,0,1560
10564,0.1102,2,1,2,1,4,1,0,32,0,1315
11389,0.152,3,3,1,1,4,1,0,32,0,1700
11571,0.1303,2,2,1,2,4,1,0,32,0,1500
11911,0.116,4,1,7,1,4,1,0,32,1,1368
13772,0.1412,2,2,1,2,4,1,0,32,0,1600
14046,0.1412,2,1,1,2,4,1,0,32,0,1600
14115,0.1846,4,2,7,1,4,1,0,32,0,2000
14164,0.1412,2,2,7,2,4,1,0,32,1,1600
1,0.0651,3,1,1,1,5,1,0,32,0,900
28,0.1041,3,1,1,1,5,1,0,32,0,1259
53,0.152,3,1,1,1,5,1,0,32,1,1700
58,0.1412,3,2,1,1,5,1,0,32,1,1600
119,0.1303,3,1,2,1,5,1,0,32,0,1500
205,0.1334,3,3,1,1,5,1,0,32,1,1529
221,0.1629,2,3,1,1,5,1,0,32,0,1800
2163,0.1846,2,1,3,1,5,1,0,32,0,2000
2202,0.132,2,1,1,1,5,1,0,32,1,1516
2283,0.1412,3,1,1,1,5,1,0,32,1,1600
