id,rendaMediaNormalizada,ugb_id,rendaTipo,estadoCivil,origem,escolaridade,tipoCliente,cidade_id,Idade,Aprovado,rendaMedia
1,0.0651,3,1,1,1,5,1,0,32,0,900
2,0.1629,3,2,0,1,0,1,0,28,1,1800
3,0.1954,3,1,2,1,2,0,0,48,0,2100
4,0.1640,3,3,1,1,5,1,0,28,1,1810
5,0.1620,3,3,1,1,5,1,0,42,1,1792
6,0.1477,3,1,1,1,5,0,0,33,0,1660
7,0.1629,3,0,0,1,0,0,0,38,0,1800
8,0.1679,3,3,1,1,2,1,0,42,1,1846
9,0.1303,3,2,1,1,2,1,0,42,1,1500
10,0.1846,3,2,1,1,2,1,0,34,0,2000
11,0.1520,3,1,1,1,5,0,0,28,0,1700
12,0.1303,3,2,1,1,3,1,0,53,1,1500
13,0.1629,3,2,2,1,2,1,0,30,1,1800
14,0.1629,3,2,2,1,5,0,0,31,0,1800
15,0.1629,3,1,3,1,5,1,0,31,0,1800
16,0.1629,3,0,0,1,0,0,0,25,0,1800
17,0.0760,3,2,1,1,3,1,0,36,1,1000
18,0.1412,3,1,2,1,5,1,0,41,0,1600
19,0.1412,3,1,1,1,2,0,0,38,0,1600
20,0.0460,3,1,1,1,5,1,0,52,0,724
21,0.1235,3,3,1,1,3,1,0,25,1,1437
22,0.1628,3,2,1,1,5,1,0,28,1,1799
23,0.1629,3,2,1,1,2,1,0,46,1,1800
24,0.1520,3,3,2,1,5,1,0,27,1,1700
25,0.1412,3,1,1,1,5,1,0,43,1,1600
26,0.1629,3,0,0,1,0,1,0,40,0,1800
27,0.1846,3,2,1,1,5,1,0,35,1,2000
28,0.1041,3,1,1,1,5,1,0,32,0,1259
29,0.1488,3,1,1,1,5,0,0,35,0,1670
30,0.1303,3,1,1,1,3,3,0,30,1,1500
31,0.1412,3,2,1,1,3,1,0,41,1,1600
32,0.1257,3,1,1,1,5,1,0,34,1,1458
33,0.1412,3,1,1,1,2,1,0,28,1,1600
34,0.1412,3,1,1,1,2,1,0,34,1,1600
35,0.1455,3,1,1,1,4,1,0,39,1,1640
36,0.1412,3,1,2,1,5,1,0,28,0,1600
37,0.1480,3,1,1,1,4,1,0,32,1,1663
38,0.2063,3,2,2,1,2,1,0,28,1,2200
39,0.1520,3,1,1,1,3,1,0,26,0,1700
40,0.1695,3,3,2,1,4,1,0,48,1,1861
41,0.1412,3,1,1,1,3,0,0,28,0,1600
42,0.1433,3,1,1,1,4,1,0,27,0,1620
43,0.1412,3,2,1,1,2,1,0,46,1,1600
44,0.1520,3,1,3,1,5,0,0,29,1,1700
45,0.1629,3,2,7,1,2,1,0,40,1,1800
46,0.1412,3,1,1,1,5,1,0,24,0,1600
47,0.1412,3,1,1,1,1,1,0,42,0,1600
48,0.1765,3,3,1,1,3,1,0,27,1,1926
49,0.1520,3,1,1,1,5,1,0,40,0,1700
50,0.1520,3,1,2,1,2,0,0,34,0,1700
51,0.1412,3,1,1,1,2,1,0,27,1,1600
52,0.1629,3,2,1,1,5,1,0,27,1,1800
53,0.1520,3,1,1,1,5,1,0,32,1,1700
54,0.1401,3,1,1,1,4,1,0,40,1,1590
55,0.1433,3,1,1,1,3,1,0,30,0,1620
56,0.1412,3,3,1,1,5,1,0,28,1,1600
57,0.1629,3,2,2,1,2,1,0,28,1,1800
58,0.1412,3,2,1,1,5,1,0,32,1,1600
59,0.1336,3,2,1,1,5,1,0,24,1,1530
