id;ugb_id;rendaTipo;estadoCivil;origem;escolaridade;tipoCliente;cidade_id;Idade;Aprovado;rendaMedia
1;3;1;1;1;5;1;0;32;0;0.0651
2;3;2;0;1;0;1;0;28;1;0.1629
3;3;1;2;1;2;0;0;48;0;0.1954
4;3;3;1;1;5;1;0;28;1;0.164
5;3;3;1;1;5;1;0;42;1;0.162
6;3;1;1;1;5;0;0;33;0;0.1477
7;3;0;0;1;0;0;0;38;0;0.1629
8;3;3;1;1;2;1;0;42;1;0.1679
9;3;2;1;1;2;1;0;42;1;0.1303
10;3;2;1;1;2;1;0;34;0;0.1846
11;3;1;1;1;5;0;0;28;0;0.152
12;3;2;1;1;3;1;0;53;1;0.1303
13;3;2;2;1;2;1;0;30;1;0.1629
14;3;2;2;1;5;0;0;31;0;0.1629
15;3;1;3;1;5;1;0;31;0;0.1629
16;3;0;0;1;0;0;0;25;0;0.1629
17;3;2;1;1;3;1;0;36;1;0.076
18;3;1;2;1;5;1;0;41;0;0.1412
19;3;1;1;1;2;0;0;38;0;0.1412
20;3;1;1;1;5;1;0;52;0;0.046
21;3;3;1;1;3;1;0;25;1;0.1235
22;3;2;1;1;5;1;0;28;1;0.1628
23;3;2;1;1;2;1;0;46;1;0.1629
24;3;3;2;1;5;1;0;27;1;0.152
25;3;1;1;1;5;1;0;43;1;0.1412
26;3;0;0;1;0;1;0;40;0;0.1629
27;3;2;1;1;5;1;0;35;1;0.1846
28;3;1;1;1;5;1;0;32;0;0.1041
29;3;1;1;1;5;0;0;35;0;0.1488
30;3;1;1;1;3;3;0;30;1;0.1303
31;3;2;1;1;3;1;0;41;1;0.1412
32;3;1;1;1;5;1;0;34;1;0.1257
33;3;1;1;1;2;1;0;28;1;0.1412
34;3;1;1;1;2;1;0;34;1;0.1412
35;3;1;1;1;4;1;0;39;1;0.1455
36;3;1;2;1;5;1;0;28;0;0.1412
37;3;1;1;1;4;1;0;32;1;0.148
38;3;2;2;1;2;1;0;28;1;0.2063
39;3;1;1;1;3;1;0;26;0;0.152
40;3;3;2;1;4;1;0;48;1;0.1695
41;3;1;1;1;3;0;0;28;0;0.1412
42;3;1;1;1;4;1;0;27;0;0.1433
43;3;2;1;1;2;1;0;46;1;0.1412
44;3;1;3;1;5;0;0;29;1;0.152
45;3;2;7;1;2;1;0;40;1;0.1629
46;3;1;1;1;5;1;0;24;0;0.1412
47;3;1;1;1;1;1;0;42;0;0.1412
48;3;3;1;1;3;1;0;27;1;0.1765
49;3;1;1;1;5;1;0;40;0;0.152
50;3;1;2;1;2;0;0;34;0;0.152
51;3;1;1;1;2;1;0;27;1;0.1412
52;3;2;1;1;5;1;0;27;1;0.1629
53;3;1;1;1;5;1;0;32;1;0.152
54;3;1;1;1;4;1;0;40;1;0.1401
55;3;1;1;1;3;1;0;30;0;0.1433
56;3;3;1;1;5;1;0;28;1;0.1412
57;3;2;2;1;2;1;0;28;1;0.1629
58;3;2;1;1;5;1;0;32;1;0.1412
59;3;2;1;1;5;1;0;24;1;0.1336
60;3;1;1;1;2;1;0;37;1;0.1412
61;3;1;1;1;0;1;0;24;1;0.1412
62;3;2;2;1;2;1;0;39;1;0.1846
63;3;1;1;1;5;1;0;31;0;0.1433
64;3;3;2;1;4;1;0;44;1;0.1453
65;3;1;1;1;5;1;0;31;1;0.1443
66;3;1;1;1;4;1;0;33;0;0.1412
67;3;1;1;1;3;1;0;46;0;0.1433
68;3;1;1;1;5;1;0;30;1;0.152
69;3;1;1;1;5;1;0;38;0;0.1412
70;3;1;2;1;3;1;0;47;1;0.1412
71;3;1;1;1;2;1;0;50;0;0.1412
72;3;1;2;1;3;1;0;42;0;0.1412
73;3;1;2;1;2;1;0;47;1;0.053
74;3;2;2;1;3;1;0;25;1;0.1412
75;3;2;1;1;2;1;0;47;1;0.1672
76;3;1;1;1;5;1;0;37;1;0.1412
